macro_0 : MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 0,     'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 0   })
macro_1 : MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 5120,  'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 160 })
macro_2 : MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 10240, 'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 320 })
macro_3 : MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 15360, 'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 480 })
macro_4 : MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 20480, 'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 640 })
macro_5 : MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 25600, 'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 800 })
macro_6 : MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 30720, 'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 960 })
macro_7 : MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 35840, 'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 1120})
macro_8 : MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 40960, 'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 1280})
macro_9 : MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 46080, 'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 1440})
macro_10: MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 51200, 'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 1600})
macro_11: MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 56320, 'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 1760})
macro_12: MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 61440, 'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 1920})
macro_13: MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 66560, 'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 2080})
macro_14: MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 71680, 'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 2240})
macro_15: MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 76800, 'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 2400})
macro_16: MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 81920, 'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 2560})
macro_17: MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 87040, 'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 2720})
macro_18: MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 92160, 'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 2880})
macro_19: MacroOp({'op_type': <MacroOpType.LOAD: 1>, 'is_window_op': False, 'src_region_type': <MemType.DRAM: 0>, 'src_len': 160, 'src': 97280, 'dst_region_type': <MemType.UNI_SRAM: 1>, 'dst': 3040})
